L 06/17/2017 - 00:14:26: SourceMod log file session started (file "L20170617.log") (Version "1.8.0.5912")
L 06/17/2017 - 00:14:26: [SM] Changed map to "emp_drygulch_a6"
L 06/17/2017 - 00:14:27: -------- Mapchange to emp_drygulch_a6 --------
L 06/17/2017 - 00:14:37: [security_entity_limit.smx] [SEL] 193 entities have been protected from deleting.This map contain 1855 free entity slot!
L 06/17/2017 - 00:38:30: [SM] Changed map to "emp_nuclear_b8u_xfix"
L 06/17/2017 - 00:38:30: -------- Mapchange to emp_nuclear_b8u_xfix --------
L 06/17/2017 - 00:38:41: [security_entity_limit.smx] [SEL] 1005 entities have been protected from deleting.This map contain 1043 free entity slot!
L 06/17/2017 - 01:18:41: [SM] Changed map to "emp_shadows_attacks_fix"
L 06/17/2017 - 01:18:42: -------- Mapchange to emp_shadows_attacks_fix --------
L 06/17/2017 - 01:18:52: [security_entity_limit.smx] [SEL] 799 entities have been protected from deleting.This map contain 1249 free entity slot!
L 06/17/2017 - 02:43:29: [SM] Changed map to "emp_blast_ob1"
L 06/17/2017 - 02:43:29: -------- Mapchange to emp_blast_ob1 --------
L 06/17/2017 - 02:43:40: [security_entity_limit.smx] [SEL] 666 entities have been protected from deleting.This map contain 1382 free entity slot!
L 06/17/2017 - 12:02:09: [SM] Changed map to "emp_downfall"
L 06/17/2017 - 12:02:09: -------- Mapchange to emp_downfall --------
L 06/17/2017 - 12:02:20: [security_entity_limit.smx] [SEL] 160 entities have been protected from deleting.This map contain 1888 free entity slot!
L 06/17/2017 - 14:45:13: [SM] Changed map to "emp_beachfront_b2"
L 06/17/2017 - 14:45:13: -------- Mapchange to emp_beachfront_b2 --------
L 06/17/2017 - 14:45:23: [security_entity_limit.smx] [SEL] 165 entities have been protected from deleting.This map contain 1883 free entity slot!
L 06/17/2017 - 15:12:47: [SM] Changed map to "con_urbanchaos_fix"
L 06/17/2017 - 15:12:48: -------- Mapchange to con_urbanchaos_fix --------
L 06/17/2017 - 15:12:58: [security_entity_limit.smx] [SEL] 660 entities have been protected from deleting.This map contain 1388 free entity slot!
L 06/17/2017 - 15:26:03: [SM] Changed map to "emp_vehicletraining_2013"
L 06/17/2017 - 15:26:04: -------- Mapchange to emp_vehicletraining_2013 --------
L 06/17/2017 - 15:26:14: [security_entity_limit.smx] [SEL] 344 entities have been protected from deleting.This map contain 1704 free entity slot!
L 06/17/2017 - 15:52:34: [basechat.smx] "Console<0><Console><Console>" triggered sm_say (text installed the latest votetime and empstats)
L 06/17/2017 - 15:53:26: [basechat.smx] "Console<0><Console><Console>" triggered sm_say (text are you saying that because of the shitty turret rotation or because of the map?)
L 06/17/2017 - 15:54:18: [basechat.smx] "Console<0><Console><Console>" triggered sm_say (text I am not even on the server, I'm talking through the console.)
L 06/17/2017 - 16:02:39: [SM] Changed map to "emp_crossroads"
L 06/17/2017 - 16:02:40: -------- Mapchange to emp_crossroads --------
L 06/17/2017 - 16:02:50: [security_entity_limit.smx] [SEL] 567 entities have been protected from deleting.This map contain 1481 free entity slot!
L 06/17/2017 - 17:24:41: SourceMod log file session started (file "L20170617.log") (Version "1.8.0.5912")
L 06/17/2017 - 17:24:41: -------- Mapchange to con_district402 --------
L 06/17/2017 - 18:50:42: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:50:43: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:50:43: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:50:43: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:50:43: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:51:06: [funvotes.smx] "Oktay<5><[U:1:116496292]><>" initiated a gravity vote.
L 06/17/2017 - 18:52:03: [basecommands.smx] "Oktay<5><[U:1:116496292]><>" changed map to "emp_insurrection_rc4"
L 06/17/2017 - 18:52:06: [SM] Changed map to "emp_insurrection_rc4"
L 06/17/2017 - 18:52:09: -------- Mapchange to emp_insurrection_rc4 --------
L 06/17/2017 - 18:52:19: [security_entity_limit.smx] [SEL] 319 entities have been protected from deleting.This map contain 1729 free entity slot!
L 06/17/2017 - 19:35:09: [basecommands.smx] "Paradox<10><[U:1:23216004]><>" changed map to "emp_drygulch_a6"
L 06/17/2017 - 19:35:12: [SM] Changed map to "emp_drygulch_a6"
L 06/17/2017 - 19:35:13: -------- Mapchange to emp_drygulch_a6 --------
L 06/17/2017 - 19:35:23: [security_entity_limit.smx] [SEL] 183 entities have been protected from deleting.This map contain 1865 free entity slot!
L 06/17/2017 - 20:26:33: [SM] Changed map to "emp_shadows_attacks_fix"
L 06/17/2017 - 20:26:34: -------- Mapchange to emp_shadows_attacks_fix --------
L 06/17/2017 - 20:26:44: [security_entity_limit.smx] [SEL] 799 entities have been protected from deleting.This map contain 1249 free entity slot!
L 06/17/2017 - 21:51:21: [SM] Changed map to "emp_downfall"
L 06/17/2017 - 21:51:21: -------- Mapchange to emp_downfall --------
L 06/17/2017 - 21:51:32: [security_entity_limit.smx] [SEL] 160 entities have been protected from deleting.This map contain 1888 free entity slot!
